diamond_id,shape,size,color,clarity,cut,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,girdle_condition,culet_size,fluor_color,fluor_intensity,has_cert_file,lab,has_video,eye_clean,has_image_file,has_sarineloupe,ratio,is_bgm,shade,milky,Total_Price
165509397,Round,0.5,D,SI1,Very Good,Excellent,Excellent,63.8,58,4.99,5.01,3.19,STK,TK,,N,Blue,Strong,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1132.2
167704346,Round,1.02,F,I3,Good,Very Good,Very Good,65.9,57.42,6.15,6.2,4.07,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1132.2
161899160,Round,0.5,E,SI1,Very Good,Excellent,Excellent,63.3,58,4.97,5,3.15,M,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1132.2
166734760,Oval,0.41,E,VVS2,,Excellent,Excellent,64.7,63,5.8,4.16,2.69,STK,TK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.394,TRUE,None,None,1135.9
158028904,Oval,0.7,J,SI2,,Very Good,Very Good,65.6,58,7.13,4.86,3.19,STK,VTK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.467,TRUE,None,None,1135.9
163526410,Round,0.5,E,SI2,Excellent,Excellent,Excellent,62.7,57,5.04,5.07,3.17,TN,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1137.75
155429997,Round,0.5,I,VVS2,Excellent,Excellent,Excellent,62.8,57,5.03,5.06,3.17,M,STK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1137.75
155430525,Round,0.7,H,I1,Excellent,Excellent,Excellent,61.2,58,5.72,5.75,3.51,M,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,Unknown,None,1137.75
166734857,Round,0.73,H,I1,Very Good,Excellent,Excellent,63.7,57,5.64,5.67,3.6,M,STK,,N,,Faint,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1137.75
155429583,Round,0.52,E,SI2,Excellent,Excellent,Excellent,62.7,57,5.12,5.16,3.22,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1139.6
155431711,Round,0.54,E,SI2,Excellent,Excellent,Excellent,60.8,58,5.25,5.28,3.2,M,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1139.6
166734988,Round,0.5,F,SI2,Excellent,Excellent,Excellent,61.8,59,5.05,5.08,3.13,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1139.6
144063814,Oval,0.4,E,VVS2,,Very Good,Very Good,65.9,61,5.57,4.07,2.68,TK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,FALSE,FALSE,1.369,TRUE,None,None,1141.45
164076760,Round,0.5,E,SI2,Excellent,Excellent,Excellent,61,59,5.1,5.13,3.12,TN,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1141.45
157040772,Round,0.71,F,I1,Good,Very Good,Very Good,65.9,59,5.45,5.51,3.61,STK,TK,,N,,None,FALSE,IGI,TRUE,No,TRUE,FALSE,0,FALSE,None,Unknown,1143.3
159923348,Round,0.55,I,SI1,Excellent,Excellent,Excellent,61.6,57,5.26,5.28,3.25,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1143.3
155431738,Round,0.71,F,I1,Very Good,Very Good,Very Good,64.3,56,5.54,5.6,3.58,STK,TK,,N,,None,FALSE,IGI,TRUE,Borderline,TRUE,FALSE,0,TRUE,None,None,1143.3
164918271,Round,0.71,F,I1,Excellent,Excellent,Excellent,60.7,59,5.73,5.77,3.49,M,M,,N,,Slight,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1143.3
167835333,Round,0.6,K,VVS1,Excellent,Excellent,Excellent,63.1,56,5.35,5.38,3.39,M,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1143.3
155430898,Round,0.71,F,I1,Fair,Very Good,Excellent,61.7,57,5.6,5.68,3.47,STK,TK,,N,,None,FALSE,IGI,TRUE,No,TRUE,FALSE,0,TRUE,None,None,1143.3
157496098,Round,0.71,F,I1,Very Good,Very Good,Very Good,64.1,57,5.56,5.58,3.57,M,TK,,N,,Strong,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1143.3
156188237,Round,0.71,F,I1,Very Good,Excellent,Very Good,63.8,57,5.61,5.65,3.6,M,STK,,N,,None,FALSE,IGI,TRUE,No,TRUE,FALSE,0,TRUE,None,None,1143.3
163311048,Round,0.5,F,SI1,Excellent,Excellent,Very Good,62,57,5.09,5.11,3.16,TN,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1147
165515344,Round,0.52,D,SI2,Excellent,Excellent,Excellent,62.3,58,5.14,5.16,3.21,M,STK,,N,Blue,Strong,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1147
165509650,Round,0.5,E,SI2,Excellent,Excellent,Excellent,60.7,59,5.1,5.11,3.1,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1148.85
155430945,Round,0.6,J,VS2,Excellent,Excellent,Excellent,63,57,5.36,5.39,3.38,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1148.85
160957140,Round,0.7,L,VS1,Good,Very Good,Excellent,64.5,57,5.49,5.56,3.56,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1148.85
161182652,Round,0.6,J,VS2,Excellent,Excellent,Excellent,62.5,57,5.36,5.39,3.36,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1150.7
167835322,Round,0.5,E,SI1,Very Good,Very Good,Very Good,59.3,63,5.14,5.16,3.05,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1150.7
167835320,Round,0.5,J,IF,Excellent,Excellent,Very Good,62,57,5.08,5.1,3.16,M,M,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1152.55
157040748,Round,0.74,H,I1,Very Good,Excellent,Excellent,63.3,57,5.67,5.75,3.62,STK,TK,,N,,None,FALSE,IGI,TRUE,No,TRUE,FALSE,0,TRUE,None,None,1152.55
167835259,Round,0.5,G,SI1,Very Good,Very Good,Very Good,64.5,58,4.91,4.96,3.18,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1154.4
166229571,Round,0.68,I,SI2,Excellent,Excellent,Excellent,61.2,59,5.66,5.68,3.47,M,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1154.4
164031562,Round,0.8,K,SI1,Very Good,Very Good,Very Good,64.4,55,5.77,5.82,3.73,M,TK,,N,,None,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1154.4
155430724,Round,0.7,I,I1,Very Good,Very Good,Excellent,64,57,5.54,5.58,3.56,M,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1154.4
167835332,Round,0.48,E,SI1,Excellent,Excellent,Excellent,62.5,58,4.99,5,3.12,M,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1158.1
155430767,Round,0.5,D,VS2,Good,Excellent,Excellent,66,59,4.86,4.89,3.22,TN,VTK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1158.1
165515287,Round,0.56,I,VS2,Excellent,Excellent,Excellent,63,56,5.26,5.27,3.31,M,STK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1159.95
165509338,Round,0.58,J,VS1,Excellent,Excellent,Excellent,62.2,58,5.28,5.32,3.3,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1159.95
160818963,Oval,0.71,J,SI1,,Very Good,Excellent,66.6,60,6.56,5.03,3.35,STK,VTK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.304,TRUE,None,None,1159.95
164810676,Round,0.52,F,SI2,Excellent,Excellent,Excellent,60.4,59,5.21,5.22,3.15,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1161.8
167835323,Round,0.56,I,VS2,Excellent,Excellent,Excellent,62.6,57,5.25,5.26,3.29,M,M,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1161.8
161268768,Round,0.5,E,SI1,Excellent,Excellent,Excellent,60,60,5.13,5.15,3.08,M,STK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1161.8
163722379,Round,0.5,H,VVS1,Good,Very Good,Excellent,66.8,56,4.83,4.88,3.24,TK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1163.65
166735277,Round,0.7,J,VVS2,Fair,Very Good,Excellent,70.4,56,5.29,5.32,3.74,TK,VTK,,N,,None,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1165.5
166735266,Round,0.7,J,VVS2,Fair,Very Good,Very Good,57.7,61,5.62,5.68,3.27,STK,TK,,N,,Faint,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1165.5
161899171,Round,0.5,G,VS2,Good,Very Good,Excellent,64,58,4.87,4.91,3.13,TK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1165.5
164036961,Round,0.51,E,SI1,Excellent,Excellent,Excellent,60.3,59,5.14,5.17,3.11,M,STK,,N,Blue,Strong,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1165.5
162445928,Round,0.5,E,SI1,Excellent,Excellent,Excellent,61.9,60,5.09,5.12,3.16,M,STK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1165.5
164918245,Round,0.7,E,I1,Excellent,Excellent,Excellent,62.7,59,5.64,5.68,3.55,M,STK,,N,,None,FALSE,IGI,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1165.5
155427700,Round,0.75,G,I1,Very Good,Very Good,Excellent,59.2,63,5.83,5.85,3.46,STK,TK,,N,,None,FALSE,IGI,TRUE,No,TRUE,FALSE,0,TRUE,None,None,1165.5
162425464,Cushion Modified,0.5,E,VS1,,Very Good,Very Good,67.8,66,4.56,4.26,2.89,,,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.07,TRUE,None,None,1165.5
155427845,Round,0.7,L,VVS2,Good,Very Good,Excellent,65.8,59,5.42,5.46,3.58,VTK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1169.2
167835321,Round,0.44,D,VS1,Excellent,Excellent,Very Good,60.7,57,4.91,4.92,2.98,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1169.2
165509553,Round,0.5,G,SI1,Very Good,Excellent,Excellent,64.4,57,4.97,5,3.21,STK,TK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1172.9
156188283,Marquise,0.6,F,SI2,,Excellent,Excellent,63.3,62,8.28,4.34,2.75,STK,VTK,,N,Blue,Strong,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.908,TRUE,None,None,1172.9
161268761,Round,0.7,K,VS1,Good,Very Good,Excellent,64.2,59,5.53,5.56,3.56,STK,VTK,,N,,Faint,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1172.9
144763982,Oval,0.46,E,VVS2,,Very Good,Excellent,61.3,60,5.94,4.41,2.71,STK,TK,,N,Blue,Medium,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.347,TRUE,None,None,1174.75
155431073,Round,0.6,J,VS2,Excellent,Excellent,Excellent,62,58,5.36,5.39,3.34,M,STK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1176.6
162087527,Round,0.51,D,SI1,Good,Excellent,Excellent,65.4,58,4.89,4.92,3.21,VTK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,1180.3
165687009,Oval,0.4,F,VVS2,,Very Good,Very Good,64,64,5.81,4.16,2.66,STK,VTK,,N,,None,FALSE,GIA,TRUE,Yes,TRUE,FALSE,1.397,TRUE,None,None,1180.3
